0;120458;8.088;30;0.006
1;4581;0.308;0;0.0
2;3859;0.259;24;0.004
3;527;0.035;0;0.0
4;2268;0.152;56;0.01
5;2723;0.183;0;0.0
6;4615;0.31;0;0.0
7;5529;0.371;5;0.001
8;5431;0.365;20;0.004
9;2172;0.146;0;0.0
10;6444;0.433;87;0.016
11;854;0.057;0;0.0
12;4740;0.318;14;0.003
13;10888;0.731;1247;0.231
14;5411;0.363;113;0.021
15;17447;1.171;4966;0.92
16;11716;0.787;1574;0.291
17;7162;0.481;109;0.02
18;8229;0.553;190;0.035
19;7141;0.479;101;0.019
20;7885;0.529;218;0.04
21;7336;0.493;214;0.04
22;10537;0.708;762;0.141
23;15848;1.064;3133;0.58
24;7280;0.489;290;0.054
25;15791;1.06;3990;0.739
26;20156;1.353;7002;1.297
27;14581;0.979;2238;0.414
28;8354;0.561;195;0.036
29;7191;0.483;153;0.028
30;10398;0.698;785;0.145
31;7525;0.505;82;0.015
32;6336;0.425;57;0.011
33;22348;1.501;8891;1.646
34;26043;1.749;11971;2.217
35;59786;4.014;45555;8.435
36;9945;0.668;848;0.157
37;14615;0.981;2823;0.523
38;18153;1.219;4710;0.872
39;1864;0.125;0;0.0
40;7035;0.472;198;0.037
41;16333;1.097;3918;0.725
42;11792;0.792;1328;0.246
43;15341;1.03;5069;0.939
44;21755;1.461;10390;1.924
45;108138;7.261;94085;17.421
46;16988;1.141;4415;0.818
47;13831;0.929;2216;0.41
48;13707;0.92;1835;0.34
49;1725;0.116;0;0.0
50;13234;0.889;3402;0.63
51;10970;0.737;949;0.176
52;10256;0.689;823;0.152
53;27670;1.858;13985;2.59
54;118774;7.975;103884;19.236
55;95158;6.389;83745;15.507
56;9488;0.637;1162;0.215
57;11334;0.761;868;0.161
58;11637;0.781;1128;0.209
59;5102;0.343;71;0.013
60;6647;0.446;313;0.058
61;12971;0.871;2207;0.409
62;17528;1.177;4499;0.833
63;18854;1.266;5530;1.024
64;13322;0.895;1953;0.362
65;56020;3.761;42006;7.778
66;11849;0.796;1761;0.326
67;7812;0.525;101;0.019
68;13013;0.874;1838;0.34
69;4272;0.287;0;0.0
70;4303;0.289;0;0.0
71;24255;1.629;10172;1.884
72;7858;0.528;154;0.029
73;14340;0.963;2193;0.406
74;3396;0.228;0;0.0
75;29797;2.001;15900;2.944
76;16238;1.09;4099;0.759
77;8218;0.552;590;0.109
78;6570;0.441;125;0.023
79;4284;0.288;19;0.004
80;5871;0.394;46;0.009
81;9715;0.652;267;0.049
82;16718;1.123;3678;0.681
83;10737;0.721;889;0.165
84;5267;0.354;58;0.011
85;9372;0.629;404;0.075
86;13832;0.929;2537;0.47
87;5618;0.377;52;0.01
88;3591;0.241;0;0.0
89;4417;0.297;20;0.004
90;1916;0.129;0;0.0
91;3897;0.262;0;0.0
92;4585;0.308;19;0.004
93;4445;0.298;0;0.0
94;6379;0.428;82;0.015
95;7796;0.523;243;0.045
96;12659;0.85;2105;0.39
97;7356;0.494;234;0.043
98;4083;0.274;0;0.0
99;5070;0.34;34;0.006
