0;5495;0.954;0;0.0
1;2207;0.383;8;0.017
2;2186;0.38;0;0.0
3;344;0.06;0;0.0
4;1391;0.242;0;0.0
5;1326;0.23;0;0.0
6;2266;0.394;0;0.0
7;2917;0.507;0;0.0
8;2501;0.434;0;0.0
9;1047;0.182;0;0.0
10;3841;0.667;5;0.01
11;656;0.114;0;0.0
12;2707;0.47;0;0.0
13;5597;0.972;91;0.189
14;3365;0.584;0;0.0
15;8774;1.524;692;1.437
16;6244;1.085;116;0.241
17;3054;0.53;0;0.0
18;4074;0.708;47;0.098
19;3074;0.534;0;0.0
20;4507;0.783;16;0.033
21;3332;0.579;0;0.0
22;4788;0.832;42;0.087
23;6788;1.179;279;0.579
24;3363;0.584;0;0.0
25;8158;1.417;423;0.878
26;11321;1.966;1327;2.756
27;7003;1.216;204;0.424
28;4654;0.808;29;0.06
29;3782;0.657;0;0.0
30;5172;0.898;23;0.048
31;3521;0.612;0;0.0
32;2973;0.516;0;0.0
33;11331;1.968;1249;2.594
34;11089;1.926;1189;2.469
35;13972;2.427;2389;4.961
36;4750;0.825;19;0.039
37;7172;1.246;76;0.158
38;7442;1.293;338;0.702
39;782;0.136;0;0.0
40;3436;0.597;0;0.0
41;7812;1.357;330;0.685
42;6378;1.108;114;0.237
43;5375;0.934;123;0.255
44;5779;1.004;38;0.079
45;12600;2.189;2021;4.197
46;8848;1.537;529;1.099
47;7739;1.344;216;0.449
48;7666;1.332;213;0.442
49;920;0.16;0;0.0
50;5545;0.963;86;0.179
51;5487;0.953;53;0.11
52;5920;1.028;70;0.145
53;14948;2.596;3132;6.505
54;17576;3.053;4915;10.207
55;29494;5.123;15118;31.397
56;5134;0.892;18;0.037
57;6846;1.189;95;0.197
58;6551;1.138;219;0.455
59;2994;0.52;10;0.021
60;3815;0.663;10;0.021
61;7587;1.318;411;0.854
62;10642;1.849;995;2.066
63;11391;1.979;1310;2.721
64;7377;1.281;264;0.548
65;13357;2.32;2361;4.903
66;5780;1.004;143;0.297
67;4847;0.842;53;0.11
68;7932;1.378;390;0.81
69;2064;0.359;0;0.0
70;2820;0.49;4;0.008
71;12494;2.17;1673;3.474
72;4523;0.786;0;0.0
73;7846;1.363;156;0.324
74;2262;0.393;0;0.0
75;14028;2.437;2640;5.483
76;9123;1.585;384;0.797
77;5489;0.953;105;0.218
78;3807;0.661;28;0.058
79;2270;0.394;0;0.0
80;3056;0.531;43;0.089
81;5015;0.871;76;0.158
82;9490;1.648;635;1.319
83;5753;0.999;52;0.108
84;2736;0.475;0;0.0
85;5477;0.951;38;0.079
86;8436;1.465;496;1.03
87;2583;0.449;0;0.0
88;1753;0.304;4;0.008
89;1478;0.257;0;0.0
90;1556;0.27;0;0.0
91;2288;0.397;0;0.0
92;2385;0.414;0;0.0
93;2492;0.433;0;0.0
94;3529;0.613;0;0.0
95;5538;0.962;0;0.0
96;7219;1.254;18;0.037
97;4175;0.725;0;0.0
98;2503;0.435;0;0.0
99;2778;0.483;0;0.0
