0;128987;4.645;118;0.007
1;4250;0.153;0;0.0
2;3884;0.14;18;0.001
3;619;0.022;0;0.0
4;2142;0.077;0;0.0
5;2251;0.081;0;0.0
6;4283;0.154;28;0.002
7;13334;0.48;2934;0.164
8;5485;0.198;22;0.001
9;1786;0.064;0;0.0
10;7972;0.287;171;0.01
11;968;0.035;0;0.0
12;5195;0.187;3;0.0
13;12279;0.442;1750;0.098
14;6668;0.24;290;0.016
15;18487;0.666;5541;0.311
16;11054;0.398;1394;0.078
17;6141;0.221;253;0.014
18;7846;0.283;583;0.033
19;5612;0.202;77;0.004
20;9348;0.337;668;0.037
21;6846;0.247;202;0.011
22;10568;0.381;1247;0.07
23;24792;0.893;12274;0.688
24;8554;0.308;413;0.023
25;55663;2.004;42260;2.369
26;17005;0.612;5672;0.318
27;12247;0.441;1651;0.093
28;7591;0.273;264;0.015
29;7595;0.273;665;0.037
30;11313;0.407;1416;0.079
31;7301;0.263;178;0.01
32;14216;0.512;6882;0.386
33;131718;4.743;117309;6.577
34;122777;4.421;107994;6.054
35;180355;6.494;165996;9.306
36;77346;2.785;65300;3.661
37;30396;1.095;17223;0.966
38;41656;1.5;27822;1.56
39;2068;0.074;0;0.0
40;6883;0.248;128;0.007
41;17159;0.618;4157;0.233
42;10870;0.391;1057;0.059
43;12652;0.456;2535;0.142
44;20872;0.752;10879;0.61
45;168636;6.072;156545;8.776
46;80145;2.886;66069;3.704
47;88765;3.196;74908;4.2
48;241583;8.699;227131;12.734
49;4676;0.168;1117;0.063
50;11640;0.419;1375;0.077
51;10589;0.381;801;0.045
52;10327;0.372;728;0.041
53;72905;2.625;58475;3.278
54;144260;5.195;129701;7.271
55;169107;6.089;155427;8.714
56;9012;0.325;646;0.036
57;10206;0.368;1020;0.057
58;122277;4.403;108161;6.064
59;10523;0.379;3271;0.183
60;7573;0.273;462;0.026
61;15042;0.542;3604;0.202
62;20324;0.732;7206;0.404
63;27028;0.973;12990;0.728
64;13655;0.492;1978;0.111
65;69716;2.51;55278;3.099
66;16722;0.602;6253;0.351
67;7543;0.272;200;0.011
68;32359;1.165;20014;1.122
69;3942;0.142;0;0.0
70;4383;0.158;103;0.006
71;22990;0.828;9302;0.521
72;8595;0.309;258;0.014
73;15240;0.549;2577;0.144
74;3788;0.136;0;0.0
75;47865;1.724;33393;1.872
76;28972;1.043;15462;0.867
77;8096;0.292;305;0.017
78;6506;0.234;9;0.001
79;3974;0.143;0;0.0
80;6071;0.219;102;0.006
81;10474;0.377;955;0.054
82;18491;0.666;4967;0.278
83;11272;0.406;1204;0.067
84;4818;0.173;150;0.008
85;9030;0.325;800;0.045
86;22549;0.812;10227;0.573
87;5397;0.194;94;0.005
88;3457;0.124;46;0.003
89;3866;0.139;4;0.0
90;2834;0.102;104;0.006
91;4700;0.169;59;0.003
92;5969;0.215;156;0.009
93;5023;0.181;4;0.0
94;6608;0.238;149;0.008
95;8151;0.294;171;0.01
96;12742;0.459;1893;0.106
97;8308;0.299;326;0.018
98;5392;0.194;49;0.003
99;5949;0.214;110;0.006
